09-01-2026 14:59:23 RAM 4379/7620MB (lfb 20x1MB) SWAP 264/3810MB (cached 0MB) CPU [0%@729,0%@1344,4%@1344,0%@1344,95%@1344,0%@1344] GR3D_FREQ 4% cpu@49.406C soc2@48.531C soc0@49.187C gpu@49.968C tj@49.968C soc1@49.187C VDD_IN 5823mW/5736mW VDD_CPU_GPU_CV 1147mW/1153mW VDD_SOC 1661mW/1640mW
09-01-2026 14:59:23 RAM 4465/7620MB (lfb 22x1MB) SWAP 267/3810MB (cached 0MB) CPU [5%@1113,0%@1113,0%@1113,35%@1113,78%@1344,0%@1344] GR3D_FREQ 0% cpu@49.718C soc2@48.531C soc0@49.187C gpu@50.25C tj@50.25C soc1@49.281C VDD_IN 5783mW/5737mW VDD_CPU_GPU_CV 1147mW/1153mW VDD_SOC 1661mW/1641mW
09-01-2026 14:59:23 RAM 4578/7620MB (lfb 11x1MB) SWAP 277/3810MB (cached 0MB) CPU [8%@960,0%@960,0%@960,38%@960,66%@1344,23%@1344] GR3D_FREQ 0% cpu@49.531C soc2@48.531C soc0@49.187C gpu@49.968C tj@49.968C soc1@49.187C VDD_IN 5783mW/5737mW VDD_CPU_GPU_CV 1147mW/1152mW VDD_SOC 1661mW/1641mW
09-01-2026 14:59:23 RAM 4729/7620MB (lfb 1x2MB) SWAP 282/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,42%@1344,0%@1344,91%@1344] GR3D_FREQ 16% cpu@49.437C soc2@48.531C soc0@49.218C gpu@50.093C tj@50.093C soc1@49.125C VDD_IN 5863mW/5740mW VDD_CPU_GPU_CV 1147mW/1152mW VDD_SOC 1661mW/1641mW
09-01-2026 14:59:24 RAM 4730/7620MB (lfb 1x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,10%@729,0%@1344,100%@1344] GR3D_FREQ 0% cpu@49.343C soc2@48.531C soc0@49.343C gpu@50.218C tj@50.218C soc1@49.156C VDD_IN 5823mW/5741mW VDD_CPU_GPU_CV 1107mW/1152mW VDD_SOC 1661mW/1642mW
09-01-2026 14:59:24 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@729,20%@729,0%@729,0%@729,0%@1344,100%@1344] GR3D_FREQ 0% cpu@49.437C soc2@48.531C soc0@49.125C gpu@50.093C tj@50.093C soc1@49.218C VDD_IN 5744mW/5741mW VDD_CPU_GPU_CV 1028mW/1150mW VDD_SOC 1661mW/1642mW
09-01-2026 14:59:24 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1344,100%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.531C soc0@49.218C gpu@50.156C tj@50.156C soc1@49.093C VDD_IN 5704mW/5740mW VDD_CPU_GPU_CV 949mW/1146mW VDD_SOC 1663mW/1642mW
09-01-2026 14:59:24 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@1344,95%@1344] GR3D_FREQ 0% cpu@49.312C soc2@48.5C soc0@49.25C gpu@49.937C tj@49.937C soc1@49.093C VDD_IN 5665mW/5739mW VDD_CPU_GPU_CV 909mW/1142mW VDD_SOC 1663mW/1643mW
09-01-2026 14:59:24 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,4%@1344,0%@1344,95%@1344] GR3D_FREQ 0% cpu@49.25C soc2@48.468C soc0@49.156C gpu@49.906C tj@49.906C soc1@49.218C VDD_IN 5625mW/5737mW VDD_CPU_GPU_CV 909mW/1139mW VDD_SOC 1663mW/1643mW
09-01-2026 14:59:25 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [4%@729,4%@729,0%@729,0%@729,23%@1190,80%@1190] GR3D_FREQ 0% cpu@49.25C soc2@48.437C soc0@49.125C gpu@49.937C tj@49.937C soc1@49.218C VDD_IN 5585mW/5735mW VDD_CPU_GPU_CV 870mW/1135mW VDD_SOC 1663mW/1643mW
09-01-2026 14:59:25 RAM 4736/7620MB (lfb 5x2MB) SWAP 283/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.531C soc0@49.218C gpu@49.968C tj@49.968C soc1@49.093C VDD_IN 5625mW/5733mW VDD_CPU_GPU_CV 909mW/1131mW VDD_SOC 1663mW/1644mW
09-01-2026 14:59:25 RAM 3913/7620MB (lfb 7x4MB) SWAP 284/3810MB (cached 0MB) CPU [4%@729,0%@729,0%@729,5%@729,5%@1344,85%@1344] GR3D_FREQ 1% cpu@49.281C soc2@48.531C soc0@49.218C gpu@50C tj@50C soc1@49.093C VDD_IN 5546mW/5731mW VDD_CPU_GPU_CV 949mW/1128mW VDD_SOC 1624mW/1643mW
