NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8800,8800.0,8800.0,8800,8800,0.0,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8768,8768.0,8768.0,8768,8768,0.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8736,8736.0,8736.0,8736,8736,0.0,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8704,8704.0,8704.0,8704,8704,0.0,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8704,8704.0,8704.0,8704,8704,0.0,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8672,8672.0,8672.0,8672,8672,0.0,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8512,8512.0,8512.0,8512,8512,0.0,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8384,8384.0,8384.0,8384,8384,0.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8256,8256.0,8256.0,8256,8256,0.0,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8224,8224.0,8224.0,8224,8224,0.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8224,8224.0,8224.0,8224,8224,0.0,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8064,8064.0,8064.0,8064,8064,0.0,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,1,10106976,10106976.0,10106976.0,10106976,10106976,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
