NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4480,4480.0,4480.0,4480,4480,0.0,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4384,4384.0,4384.0,4384,4384,0.0,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3552,3552.0,3552.0,3552,3552,0.0,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3552,3552.0,3552.0,3552,3552,0.0,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3488,3488.0,3488.0,3488,3488,0.0,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3488,3488.0,3488.0,3488,3488,0.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3488,3488.0,3488.0,3488,3488,0.0,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,3392,3392.0,3392.0,3392,3392,0.0,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,10115232,10115232.0,10115232.0,10115232,10115232,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,106,9045792,85337.7,85664.0,53632,96896,6896.1,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
