PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
649196,649196,0,3,3,764821.3,111104.0,107968,2075392,1134988.6,16352.0,16384.0,16096,16576,241.6,722506.7,68736.0,65984,2032800,1134748.1,25962.7,25984.0,25888,26016,66.6,cuLaunchKernel,_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825
649196,649196,0,3,3,750485.3,113344.0,111552,2026560,1105113.4,15893.3,16192.0,15232,16256,573.6,708032.0,72128.0,68128,1983840,1104883.9,26560.0,26464.0,25984,27232,629.5,cuLaunchKernel,_gemm_mha_v2_0xf4c36af1b3c39fab3312671f178aa157
649196,649196,0,4,4,741640.0,784816.0,525376,871552,149862.0,15680.0,15632.0,14624,16832,960.4,717256.0,760288.0,500320,848128,150436.5,8704.0,8848.0,8224,8896,323.2,cuLaunchKernel,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
649196,649196,0,6,6,740069.3,103616.0,101792,2039840,987125.8,16496.0,16928.0,12288,20096,2977.0,710581.3,75808.0,69920,2012224,986990.3,12992.0,11920.0,11776,15328,1773.7,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
649196,649196,0,4,4,729112.0,806576.0,468672,834624,174208.9,15616.0,15920.0,13568,17056,1469.4,700072.0,777200.0,441536,804352,172901.4,13424.0,13392.0,13120,13792,311.9,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
649196,649196,0,4,4,726176.0,751584.0,619040,782496,73013.6,32024.0,15584.0,14528,82400,33589.4,685400.0,727488.0,528128,758496,105970.0,8752.0,8816.0,8512,8864,162.1,cuLaunchKernel,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
649196,649196,0,3,3,719872.0,109120.0,101056,1949440,1064844.8,16394.7,16608.0,15712,16864,604.9,677269.3,67168.0,58336,1906304,1064384.4,26208.0,26240.0,26112,26272,84.7,cuLaunchKernel,_gemm_mha_v2_0x582f9c30de38a93e722c6de99876bc60
649196,649196,0,9,9,712526.2,520000.0,106912,2352832,759638.6,15114.7,12704.0,11008,25184,4433.7,672508.4,482720.0,64448,2316032,760944.2,24903.1,24928.0,23968,25856,494.9,cuLaunchKernel,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
649196,649196,0,3,3,710378.7,717216.0,680736,733184,26884.2,23029.3,20960.0,20896,27232,3639.8,658773.3,666304.0,632832,677184,23115.1,28576.0,28768.0,27008,29952,1481.4,cuLaunchKernel,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
649196,649196,0,3,3,709216.0,766048.0,127008,1234592,555974.8,15381.3,15232.0,14944,15968,528.1,667690.7,723872.0,86208,1192992,555526.7,26144.0,26208.0,25856,26368,261.9,cuLaunchKernel,_gemm_mha_v2_0x5365bc7530dd58ba06615d617f2617f3
649196,649196,0,3,3,708682.7,513568.0,129216,1483264,697792.1,15872.0,16256.0,14848,16512,896.0,666026.7,470208.0,88384,1439488,696512.2,26784.0,26848.0,25984,27520,770.0,cuLaunchKernel,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
649196,649196,0,4,4,703056.0,709744.0,655808,736928,37428.8,18872.0,17232.0,16928,24096,3486.2,671616.0,680080.0,626208,700096,35424.4,12568.0,12544.0,12448,12736,120.8,cuLaunchKernel,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
649196,649196,0,4,4,700144.0,698624.0,693568,709760,6842.6,77448.0,78000.0,73984,79808,2474.1,598448.0,595920.0,590464,611488,9088.4,24248.0,24128.0,23936,24800,400.9,cuLaunchKernel,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
649196,649196,0,3,3,699850.7,843744.0,180480,1075328,464453.7,16373.3,16160.0,16160,16800,369.5,657173.3,800576.0,138400,1032544,464000.7,26304.0,26368.0,25920,26624,356.3,cuLaunchKernel,_gemm_mha_v2_0xa7ca53b515adf180e9a745693ffd0464
649196,649196,0,81,81,699614.0,541824.0,82656,2380320,643484.8,13852.4,13312.0,10560,19712,2319.6,668627.0,509888.0,46880,2350240,643760.4,17134.6,17216.0,15264,19264,965.5,cuLaunchKernel,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
649196,649196,0,3,3,698848.0,696960.0,116224,1283360,583570.3,15338.7,15424.0,15104,15488,205.7,657461.3,655744.0,74528,1242112,583793.9,26048.0,26144.0,25728,26272,284.4,cuLaunchKernel,_gemm_mha_v2_0xb386849c29e984208fe41d8ff07d34fc
649196,649196,0,4,4,698312.0,739312.0,474272,840352,156772.4,15320.0,15328.0,14176,16448,1119.7,672440.0,712320.0,449376,815744,156498.5,10552.0,10400.0,10336,11072,349.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
649196,649196,0,3,3,693333.3,113184.0,112192,1854624,1005707.3,15893.3,15616.0,15264,16800,804.7,651349.3,72000.0,69344,1812704,1005763.5,26090.7,26048.0,25920,26304,195.5,cuLaunchKernel,_gemm_mha_v2_0xc2d92b3cbb126a251b76d78c57684e17
