NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,108,1490720,13803.0,13728.0,10912,14944,423.4,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,81,1479936,18270.8,18528.0,17376,19104,492.7,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,1406528,12558.3,12512.0,12384,13376,161.6,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,1345568,16018.7,15904.0,14848,17664,432.2,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,1342368,11985.4,11936.0,9216,12672,327.3,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,1287552,15328.0,15184.0,14816,16544,410.0,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,1264512,15053.7,15008.0,14688,16032,256.9,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,4,1204800,301200.0,301648.0,299520,301984,1152.7,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,1196448,14243.4,14112.0,13600,15360,483.7,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,81,1164608,14377.9,14240.0,13760,15296,428.5,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,81,1144384,14128.2,13952.0,13728,15040,385.4,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,1139808,10176.9,10016.0,8384,11136,398.4,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,108,1007168,9325.6,9312.0,7392,9792,211.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,992224,11812.2,12016.0,9920,12448,532.0,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,948800,11295.2,11264.0,10912,12288,181.5,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,4,635456,158864.0,158704.0,158144,159904,744.8,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,1,27,569504,21092.7,20928.0,20224,22048,521.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
